objective_id,assessment_objective,control_title,family,machine_reportable,referent_class,authority_source,feed_types,rationale,prior_call,change_note,owner_comments
03.09.02_obj.b,system access and credentials are terminated consistent with personnel actions such as termination or transfer.,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Personnel Security,partial,,,Directory enumeration|SIEM / log query,"The system side emits cleanly: account disable/credential revocation events and current account state are directly queryable and joinable to a termination date. What does not emit is the personnel action itself (HR record). Partial: consistency between the two is checkable only if the HR date is supplied - one declared input, then fully machine-checkable. Strongest partial in the set.",,,
03.09.02_obj.c,the system is protected during and after personnel transfer actions.,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Personnel Security,partial,,,Directory enumeration|Config API,"Access-change state during transfer emits (group membership deltas, permission state); whether the resulting state is *appropriate to the transfer* is judgment. Emission exists, target is undefined.",,,
03.05.01_obj.a,system users are identified.,"Identify system users, processes acting on behalf of users, and devices.",Identification & Authentication,yes,Organization-defined ODP,artifact,Directory enumeration,User identification is the directory itself - the IdP user list is the enumeration.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: IdP list IS the identification. As 03.01.01.a.,
03.05.01_obj.b,processes acting on behalf of users are identified.,"Identify system users, processes acting on behalf of users, and devices.",Identification & Authentication,partial,,,Directory enumeration|SIEM / log query,"Service principals and managed identities enumerate cleanly in the cloud path; on-host processes acting for users (service accounts, scheduled tasks) require correlation work. Analyst note concurs: 'will take some work to set up.' Emission exists for the identity layer; completeness across execution contexts is not established.",,,
03.05.01_obj.c,devices accessing the system are identified.,"Identify system users, processes acting on behalf of users, and devices.",Identification & Authentication,yes,Organization-defined ODP,artifact,Directory enumeration,Device registration records are the identification - analyst note: Entra device registration = device identification record.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Registration record IS the identification. As 03.01.01.c.,
03.05.02_obj.a,the identity of each user is authenticated or verified as a prerequisite to system access.,"Authenticate or verify the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",Identification & Authentication,yes,NCP checklist repository (inherited),,SIEM / log query|Config API,Sign-in logs emit every authentication event; CA policy state emits the prerequisite enforcement.,,,
03.05.02_obj.b,the identity of each process acting on behalf of a user is authenticated or verified as a prerequisite to system access.,"Authenticate or verify the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",Identification & Authentication,partial,,,SIEM / log query,"Service-principal sign-ins emit in the cloud path; on-host process authentication (SPN validation, RPC auth per analyst note) emits to security logs but binding every process context to an authenticated identity is not established out of the box.",,,
03.05.02_obj.c,the identity of each device accessing or connecting to the system is authenticated or verified as a prerequisite to system access.,"Authenticate or verify the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",Identification & Authentication,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,Device-based CA (compliant/hybrid-joined required) emits as policy state; device sign-in events emit.,,,
03.05.03_obj.a,privileged accounts are identified.,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Identification & Authentication,yes,Organization-defined ODP,artifact,Directory enumeration,Privileged accounts are an enumeration of privileged role/group membership - analyst note concurs.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Duplicate emission of 03.01.05.a per v7 rationale; lands with it.,
03.05.03_obj.b,multifactor authentication is implemented for local access to privileged accounts.,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Identification & Authentication,partial,,,Host config read,"Local privileged access MFA (smart card / Windows Hello requirement at the host) emits as configuration where enforced; coverage across all local-access paths (safe mode, local console fallback) is not uniformly emitted. Cloud-session MFA is the .c case.",,,
03.05.03_obj.c,multifactor authentication is implemented for network access to privileged accounts.,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Identification & Authentication,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,CA policy requiring MFA for privileged roles emits as policy state; sign-in logs emit MFA satisfaction per session. Analyst note names the policy.,,,
03.05.03_obj.d,multifactor authentication is implemented for network access to non-privileged accounts.,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Identification & Authentication,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,As .c at broader scope.,,,
03.05.04_obj.a,employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Identification & Authentication,yes,NCP checklist repository (inherited),,Config API,Authentication-strength policy (FIDO2/WHfB) emits as CA configuration; replay resistance is a property of the enforced method class. Analyst note concurs.,,,
03.05.05_obj.a,a period within which identifiers cannot be reused is defined.,Prevent reuse of identifiers for a defined period.,Identification & Authentication,yes,DoD ODP,customer-ODP (pending),Config API,Identifier-reuse window emits as tenant setting (soft-delete retention period). Definition floor question separate per scoping.,yes,V8.8: referent is April 2025 DoD ODP 03.05.05.c (owner ruling). V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. FLOOR RULE: reuse-prevention period is a scalar; no confirmed Department value. Pending ODP pass.,
03.05.05_obj.b,reuse of identifiers is prevented within the defined period.,Prevent reuse of identifiers for a defined period.,Identification & Authentication,yes,NCP checklist repository (inherited),,Config API|Directory enumeration,Soft-deleted object state and restoration window emit; uniqueness constraints enforced by the directory itself.,,,
03.05.06_obj.a,a period of inactivity after which an identifier is disabled is defined.,Disable identifiers after a defined period of inactivity.,Identification & Authentication,yes,Organization-defined ODP,customer-ODP (pending),Config API,Inactivity-disable period emits as policy configuration where the policy exists. Analyst flag retained: automated enforcement requires P2 or custom script - license-tier dependency.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. FLOOR RULE: inactivity-disable period scalar; pending ODP pass. License-tier note retained.,
03.05.06_obj.b,identifiers are disabled after the defined period of inactivity.,Disable identifiers after a defined period of inactivity.,Identification & Authentication,yes,NCP checklist repository (inherited),,Directory enumeration|SIEM / log query,Last-sign-in timestamps and account-enabled state are queryable; disabled-after-inactivity is a join.,,,
03.05.07_obj.a,password complexity requirements are defined.,Enforce a minimum password complexity and change of characters when new passwords are created.,Identification & Authentication,yes,NCP checklist + DoD ODP,NCP-designated + ODP,Host config read|Config API,Password policy configuration emits (AD policy / Entra password protection / pwquality).,,Authority recorded: benchmark specifies password policy values. | V8 AUDIT: KEPT: double-floored (benchmark values + 03.05.07.f length 16).,
03.05.07_obj.b,password change of character requirements are defined.,Enforce a minimum password complexity and change of characters when new passwords are created.,Identification & Authentication,yes,Organization-defined ODP,customer-ODP (pending),Host config read,"Change-of-character requirement emits as configuration (pwquality difok per analyst note) on the Linux path; Windows path lacks a native equivalent setting - path-dependent, noted.",yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Scope contradiction: Windows lacks native change-of-character setting; pwquality difok is Linux-path and Linux endpoints excluded from reference architecture. No emission on declared path; retained partial pending Entra password-protection verification.,
03.05.07_obj.c,minimum password complexity requirements as defined are enforced when new passwords are created.,Enforce a minimum password complexity and change of characters when new passwords are created.,Identification & Authentication,yes,NCP checklist repository (inherited),,Host config read|SIEM / log query,Enforcement is the policy engine itself; rejection events emit.,,,
03.05.07_obj.d,minimum password change of character requirements as defined are enforced when new passwords are created.,Enforce a minimum password complexity and change of characters when new passwords are created.,Identification & Authentication,yes,NCP checklist repository (inherited),,Host config read,As .b - enforced where the mechanism exists; path-dependent.,,,
03.05.08_obj.a,the number of generations during which a password cannot be reused is specified.,Prohibit password reuse for a specified number of generations.,Identification & Authentication,yes,NCP checklist repository,NCP-designated,Host config read|Config API,Password-history depth emits as policy setting.,,Authority recorded: benchmark specifies history depth. | V8 AUDIT: KEPT: benchmark specifies history depth; policy emits.,
03.05.08_obj.b,reuse of passwords is prohibited during the specified number of generations.,Prohibit password reuse for a specified number of generations.,Identification & Authentication,yes,NCP checklist repository (inherited),,Host config read,History enforcement is the policy engine; setting state is the emission.,,,
03.05.09_obj.a,allow temporary password use for system logons with an immediate change to a permanent password.,Allow temporary password use for system logons with an immediate change to a permanent password,Identification & Authentication,yes,NCP checklist repository (inherited),,Config API|Host config read,Temporary-access-pass config (cloud) or must-change-at-next-logon flag (on-prem) emit. Analyst note marks path-dependence; both paths emit.,,,
03.05.10_obj.a,passwords are cryptographically protected in storage.,Store and transmit only cryptographically-protected passwords.,Identification & Authentication,partial,,,Host config read,"Storage protection is an OS implementation property (hashing in AD/SAM, /etc/shadow). What emits is the configuration surrounding it (e.g. reversible-encryption disabled, shadow permissions); the cryptographic property itself is asserted by platform design rather than emitted. Partial: config emits, the protected property is inherited from the OS vendor's implementation.",,,
03.05.10_obj.b,passwords are cryptographically protected in transit.,Store and transmit only cryptographically-protected passwords.,Identification & Authentication,yes,NCP checklist repository (inherited),,Host config read|Config API,"Transit protection emits as protocol configuration - TLS/LDAPS enforcement, NTLM restrictions, Kerberos encryption types are all readable settings.",,,
03.05.11_obj.a,obscure feedback of authentication information.,Obscure feedback of authentication information.,Identification & Authentication,yes,NCP checklist repository (inherited),,Host config read,"Feedback obscuring (password masking, lock-screen credential hiding) emits as OS policy settings covered by the benchmark.",,,
03.14.01_obj.a,the time within which to identify system flaws is specified.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,yes,Organization-defined ODP,customer-ODP (pending),Config API,"Scan schedule configuration IS the specified timeframe - analyst note: DEFINE_AS_SETTING. The emission is the schedule; whether a formal window is also documented is the floor question, kept separate.",yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. FLOOR RULE: scan-timeframe scalar; schedule emits but ratifies itself absent a published window. Pending ODP pass. Note 03.14.01.e finding: published remediation windows would convert the pair.,
03.14.01_obj.b,system flaws are identified within the specified time frame.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,yes,Organization-defined ODP,customer-ODP (pending),SIEM / log query|Config API,Scan execution records and finding timestamps emit; identification-within-timeframe is a join of finding date to schedule.,yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Identification-within-timeframe: R2 3.14.1[a] makes the timeframe org-specified; R3 30/90/180 values floor REMEDIATION (3.14.1[e]/[f] analog), a different parameter. Emission real (finding timestamps vs schedule); floor not published.",
03.14.01_obj.c,the time within which to report system flaws is specified.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,no,,,,"Reporting timeframe is a determination with no configuration surface in the lab stack - no setting encodes 'report within N days.' Definition objective, no emission.",,,
03.14.01_obj.d,system flaws are reported within the specified time frame.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,partial,,,SIEM / log query,Alert/notification records emit when findings route to owners; that this constitutes 'reporting' per a specified timeframe requires the .c definition to exist. Emission of the routing event is real; the target is undefined.,,,
03.14.01_obj.e,the time within which to correct system flaws is specified.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,no,,,,"Correction timeframe is documented (SSP per analyst note - BOD 22-01 values) but no system setting encodes it; the value lives in prose. Definition objective, no emission. Note: if the Department published remediation-window ODPs, .e would be discharged by reference and .f would become a pure join - the clearest single instance of a publishable value converting a definition pair.",,,
03.14.01_obj.f,system flaws are corrected within the specified time frame.,"Identify, report, and correct system flaws in a timely manner.",System & Info Integrity,no,,,SIEM / log query,Vulnerability state over time emits (first-seen/last-seen per finding); time-to-remediate is a query. Checkable against any supplied window.,yes,"V8.7: yes->no. Owner ruling (SIEM tiering). Sole sufficient feed is log query, a collector outside the declared reference architecture; SIEM was excluded from the reference baseline at v8.5 and that exclusion is now applied consistently. Demoted to 'no' rather than 'partial' to match the v8.5 AU/IR treatment on identical facts. feed_types retained as a record of where emission would originate.",
03.14.02_obj.a,designated locations for malicious code protection are identified.,Provide protection from malicious code at designated locations within organizational systems.,System & Info Integrity,partial,,,Config API,"Deployment state of protection agents emits per endpoint; whether deployed locations constitute the 'designated' set requires the designation - declared-input pattern, as 03.09.02.b.",,,
03.14.02_obj.b,protection from malicious code at designated locations is provided.,Provide protection from malicious code at designated locations within organizational systems.,System & Info Integrity,yes,NCP checklist repository (inherited),,Config API|Host config read,"AV/EDR enabled-state, engine and platform versions emit per device.",,,
03.14.03_obj.a,response actions to system security alerts and advisories are identified.,Monitor system security alerts and advisories and take action in response.,System & Info Integrity,no,,,,Response-action identification is a determination (playbook content); no emission. Model-content candidate - advisory-response actions are largely common across suppliers.,,,
03.14.03_obj.b,system security alerts and advisories are monitored.,Monitor system security alerts and advisories and take action in response.,System & Info Integrity,partial,,,SIEM / log query,"Advisory-feed ingestion emits where a threat-intel connector is configured; monitoring of advisories outside integrated feeds (vendor bulletins, CISA emails) does not emit. Lab stack has partial feed integration.",,,
03.14.03_obj.c,actions in response to system security alerts and advisories are taken.,Monitor system security alerts and advisories and take action in response.,System & Info Integrity,partial,,,SIEM / log query,Automated response actions emit execution records (analyst note: Active Response is the mechanism); human response actions are process records. Split by action class.,,,
03.14.04_obj.a,update malicious code protection mechanisms when new releases are available.,Update malicious code protection mechanisms when new releases are available.,System & Info Integrity,yes,NCP checklist repository (inherited),,Config API|Host config read,Signature/engine currency emits per endpoint - version and last-update timestamp are readable state; update-on-release is a comparison to vendor-current.,,,
03.14.05_obj.a,the frequency for malicious code scans is defined.,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",System & Info Integrity,yes,DoD ODP,customer-ODP (pending),Config API,Scan frequency emits as configuration. Definition floor separate.,yes,V8.8: referent is April 2025 DoD ODP 03.14.02.c.01 (owner ruling). V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. FLOOR RULE: scan-frequency scalar; pending ODP pass.,
03.14.05_obj.b,malicious code scans are performed with the defined frequency.,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",System & Info Integrity,yes,NCP checklist repository (inherited),,SIEM / log query|Config API,Scan execution records emit; performed-per-frequency is a join.,,,
03.14.05_obj.c,"real-time malicious code scans of files from external sources as files are downloaded, opened, or executed are performed.","Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",System & Info Integrity,yes,NCP checklist repository (inherited),,Config API|Host config read,Real-time protection state emits as setting (on-access scanning enabled).,,,
03.14.06_obj.a,the system is monitored to detect attacks and indicators of potential attacks.,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",System & Info Integrity,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,Monitoring coverage emits: agent deployment state plus alert pipeline. That monitoring is *occurring* is the emission; detection efficacy is not claimed.,,,
03.14.06_obj.b,inbound communications traffic is monitored to detect attacks and indicators of potential attacks.,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",System & Info Integrity,partial,,,SIEM / log query,Inbound traffic monitoring emits where network sensors/firewall logs are integrated; lab stack integrates host-level but not full network-boundary capture. Partial on deployed coverage in the reference environment.,,,
03.14.06_obj.c,outbound communications traffic is monitored to detect attacks and indicators of potential attacks.,"Monitor organizational systems, including inbound and outbound communications traffic, to detect attacks and indicators of potential attacks",System & Info Integrity,partial,,,SIEM / log query,As .b for outbound - egress monitoring coverage is partial in the lab stack.,,,
03.14.07_obj.a,authorized use of the system is defined.,Identify unauthorized use of organizational systems.,System & Info Integrity,yes,Organization-defined ODP,artifact,Config API|Directory enumeration,"The Conditional Access / RBAC / session-policy ruleset natively encodes the definition of authorized use for a general support system: who, from what device posture, under what conditions, to which functions. Definition-as-setting; same emission also evidences 3.1.1/3.1.2 (cross-family, as 03.01.05.a/03.05.03.a). No published referent for what the definition must include -> artifact, not yes. No conduct/AUP gate: no published value requires one.",yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8.1 PROMOTION (no -> artifact): first row to enter the reportable set across four audit passes. Owner ruling: for a GSS, authorized use IS access; encoded ruleset is the enforceable definition.",
03.14.07_obj.b,unauthorized use of the system is identified.,Identify unauthorized use of organizational systems.,System & Info Integrity,yes,Organization-defined ODP,artifact,SIEM / log query,"Unauthorized use identified as evaluation against the encoded ruleset of .a: CA policy blocks, risky sign-in events, privilege-boundary violations emit from the same engine that holds the definition. Target no longer undefined; partial because the referent (the ruleset) is customer-authored.",,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8.1: rationale repaired — .a promotion supplies the previously undefined target. Disposition unchanged (partial).,
03.01.01_obj.a,authorized users are identified.,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,yes,Organization-defined ODP,artifact,Directory enumeration,"The IdP user list is the identification. Analyst note suggests prose plus ID-validation pointer; under the emission test the enumeration itself is the artifact - validation rigor is a floor question, kept separate.",yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Directory enumeration IS the identification; no published referent for authorization validation. Define not inherited; validation (of the enumeration itself) is. Allowlist precedent 03.04.07.a.,
03.01.01_obj.b,processes acting on behalf of authorized users are identified.,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,partial,,,Directory enumeration|SIEM / log query,"As 03.05.01.b - service principals enumerate cleanly; on-host process contexts require correlation. Same split, same reason.",,,
03.01.01_obj.c,devices (including other systems) authorized to connect to the system are identified.,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,yes,Organization-defined ODP,artifact,Directory enumeration,Device inventory is the identification - analyst note concurs (Entra device records; AD computer objects on the traditional path).,yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Device inventory IS the identification; ""authorized to connect"" judgment not emitted. As .a.",
03.01.01_obj.d,system access is limited to authorized users.,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,Analyst note: the CA policy gate IS the authorization enforcement. Policy state emits; sign-in logs emit every allow/deny decision.,,,
03.01.01_obj.e,system access is limited to processes acting on behalf of authorized users.,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,yes,NCP checklist repository (inherited),,Config API|Directory enumeration,Service principals and app registrations define authorized processes (analyst note); both enumerate.,,,
03.01.01_obj.f,system access is limited to authorized devices (including other systems).,"Limit system access to authorized users, processes acting on behalf of authorized users, and devices",Access Control,yes,DoD ODP,ODP,Config API|Directory enumeration,Compliant-device CA condition emits as policy state; device record is the authorization list. ODP present (90-day currency).,,Authority recorded: ODP fixes device-currency window (90 days).,
03.01.02_obj.a,the types of transactions and functions that authorized users are permitted to execute are defined,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,Access Control,yes,Organization-defined ODP,artifact,Config API|Directory enumeration,"RBAC role definitions ARE the enumeration of permitted transaction and function types: actions/notActions lists, app-role assignments, CA conditions. The most literal definition-as-setting instance in the set; same artifact as 03.14.07.a read at content level. No published referent for what the permitted set must contain -> artifact.",yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8.2 PROMOTION (no -> artifact): owner ruling — same artifact as 03.14.07.a, examined twice. Cross-family single-emission pattern.",
03.01.02_obj.b,system access is limited to the defined types of transactions and functions for authorized users.,Limit system access to the types of transactions and functions that authorized users are permitted to execute.,Access Control,partial,,,Config API,"App-level CA conditions, named locations, session controls emit; enforcement target is now the encoded role-definition/CA set of .a (artifact). Partial: referent customer-authored.",,V8.2: target repaired — upstream definitional row promoted to artifact. Disposition unchanged.,
03.01.03_obj.a,information flow control policies are defined.,Control the flow of CUI in accordance with approved authorizations.,Access Control,no,,,,Flow-control policy definition is an architectural determination; no emission. Design-definition class.,,,
03.01.03_obj.b,methods and enforcement mechanisms for controlling the flow of CUI are defined.,Control the flow of CUI in accordance with approved authorizations.,Access Control,yes,Organization-defined ODP,artifact,Config API,"The NSG/private-endpoint/transport rule set is simultaneously the flow-control mechanism and its definition. Sibling .d has held this exact rationale since v7 (""rules natively encode the authorizations""); .b is the same sentence at mechanism level.",yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8.2 PROMOTION (no -> artifact): consistency with .d, in the artifact class since v7.",
03.01.03_obj.c,"designated sources and destinations (e.g., networks, individuals, and devices) for CUI within systems and between interconnected systems are identified.",Control the flow of CUI in accordance with approved authorizations.,Access Control,partial,,,Directory enumeration|Config API,"Network topology (NSGs, peering) and inventory partially enumerate designated sources/destinations; the designation act - which of these carry CUI - is a declaration. Declared-input pattern.",,,
03.01.03_obj.d,authorizations for controlling the flow of CUI are defined.,Control the flow of CUI in accordance with approved authorizations.,Access Control,yes,Organization-defined ODP,artifact,Config API,Analyst note is exactly right and worth quoting: NSG rules = network-layer authorization expression; CA = identity-layer; transport rules = mail flow. The authorizations exist AS configuration - the rare definition objective where the definition is natively machine-encoded.,yes,"V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. AGREED APPROACH: NSG/CA/transport rules natively encode the authorizations; deliberate artifact, no published referent. Finding retained: rare definition natively machine-encoded.",
03.01.03_obj.e,approved authorizations for controlling the flow of CUI are enforced.,Control the flow of CUI in accordance with approved authorizations.,Access Control,yes,NCP checklist repository (inherited),,Config API|SIEM / log query,"Enforcement state is the same rule sets as .d, plus flow logs emit permit/deny decisions.",,,
03.01.04_obj.a,the duties of individuals requiring separation to reduce the risk of malevolent activity are defined.,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Access Control,no,,,,"Separation-of-duties definition is an organizational determination (which roles conflict); no emission. Analyst proposes an SoD matrix - that matrix would be a declared input, not an emission.",,,
03.01.04_obj.b,organization-defined duties of individuals requiring separation are separated.,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Access Control,partial,,,Directory enumeration,"Role assignments enumerate; verifying *separation* requires the .a conflict matrix. Given the matrix, the check is a pure join - declared-input pattern, as 03.09.02.b.",,,
03.01.04_obj.c,separate accounts for individuals whose duties and accesses must be separated to reduce the risk of malevolent activity or collusion are established,Separate the duties of individuals to reduce the risk of malevolent activity without collusion.,Access Control,yes,Organization-defined ODP,artifact,Directory enumeration,Dual-account pattern is directly observable: paired standard/privileged accounts enumerate from the directory.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Privilege/account separation structure natively encodes the assignment; WHICH duties require separation is customer-defined. Parallels 03.04.05.e RBAC artifact. NOTE: restore verbatim R2 3.1.4[c] text before publication.,
03.01.05_obj.a,privileged accounts are identified.,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Access Control,yes,Organization-defined ODP,artifact,Directory enumeration,"Privileged role membership enumerates. Duplicate of 03.05.03.a in substance - one emission, two objectives, cross-family.",yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Privileged-role membership enumerates; what counts as privileged has no Department referent (vendor role taxonomy only). Decided jointly with 03.01.07.b / 03.05.03.a.,
03.01.05_obj.b,access to privileged accounts is authorized in accordance with the principle of least privilege.,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Access Control,partial,,ODP,Directory enumeration,Role assignments emit as authorization records (analyst note); *least privilege* conformance is a judgment against role necessity. ODP present (12-month review cadence) - the review-currency slice is checkable; the appropriateness slice is not. PIM/P2 license note retained.,,Authority recorded: ODP fixes 12-month review cadence; appropriateness slice remains judgment (call unchanged).,
03.01.05_obj.c,security functions are identified.,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Access Control,yes,NCP checklist repository,NCP-designated,Compliance scan|Host config read,"Security functions are identified by the benchmark's security-relevant scope: the rights governing security operations (manage auditing, take ownership, security policy modification) are enumerated in the User Rights section, and the benchmark's coverage constitutes the platform identification. One notch more inferential than 03.01.07.a — the identification is carried by what the benchmark governs rather than a captioned list — stated here for the record.",yes,V8.3 PROMOTION (no -> yes): owner ruling — NCP-defined. VERIFY: benchmark section citations.,
03.01.05_obj.d,access to security functions is authorized in accordance with the principle of least privilege.,"Employ the principle of least privilege, including for specific security functions and privileged accounts.",Access Control,yes,NCP checklist repository,NCP-designated (via .c),Compliance scan|Directory enumeration|Host config read,Least-privilege access to security functions is rights-assignment conformance against benchmark-recommended values — the canonical User Rights compliance scan. Blocker removed by the .c promotion: the referent is now published content.,yes,V8.3 PROMOTION (partial -> yes): cascade from 03.01.05.c.,
03.01.06_obj.a,nonsecurity functions are identified.,Use non-privileged accounts or roles when accessing nonsecurity functions.,Access Control,yes,NCP checklist repository,NCP-designated (complement),Compliance scan|Host config read,Nonsecurity functions are the complement of the benchmark-identified security-function set — yes by the 03.04.07.n precedent: complement of published content inherits the publication.,yes,V8.3 PROMOTION (no -> yes): complement of 03.01.05.c per owner ruling.,
03.01.06_obj.b,users are required to use non-privileged accounts or roles when accessing nonsecurity functions.,Use non-privileged accounts or roles when accessing nonsecurity functions.,Access Control,yes,NCP checklist repository (inherited),,Directory enumeration|Host config read,"Default-nonprivileged operation is observable: standard-user tokens, elevation configuration, absence of standing admin. Analyst note describes the pattern.",,,
03.01.07_obj.a,privileged functions are defined.,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Access Control,yes,NCP checklist repository,NCP-designated,Compliance scan|Host config read|Config API,"Privileged functions are enumerated in NCP-designated benchmark content: the Windows User Rights Assignment section is a machine-readable catalog of privileged rights with recommended holders; Azure/M365 Foundations benchmark privileged-role sections cover the cloud slice. Published enumeration + scan-comparable state -> yes (03.04.07.k precedent). Supersedes the v8.2 artifact call, which was wrong on the Windows path.",yes,V8.3 PROMOTION (artifact -> yes): owner ruling — defined by NCP content. VERIFY: cite benchmark sections/versions before publication.,
03.01.07_obj.b,non-privileged users are defined.,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Access Control,yes,Organization-defined ODP,artifact,Directory enumeration,Analyst note nails it: everyone without a privileged role assignment is non-privileged by definition. The complement of an enumeration is an enumeration.,yes,V8.8: promoted partial->yes. Referent is the organization-defined value the standard obliges the organization to set; validation executes against it when the export carries the declaration and the observation as separate assertions. V8 AUDIT: Complement of privileged enumeration; rises/falls with 03.01.05.a.,
03.01.07_obj.c,non-privileged users are prevented from executing privileged functions.,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Access Control,yes,NCP checklist repository (inherited),,Config API|Host config read,"Prevention is enforced by RBAC/UAC state, which emits.",,,
03.01.07_obj.d,the execution of privileged functions is captured in audit logs.,Prevent non-privileged users from executing privileged functions and capture the execution of such functions in audit logs.,Access Control,no,,,SIEM / log query,Privileged-command capture emits directly (OS-level audit + admin operation logs per analyst note).,yes,"V8.7: yes->no. Owner ruling (SIEM tiering). Sole sufficient feed is log query, a collector outside the declared reference architecture; SIEM was excluded from the reference baseline at v8.5 and that exclusion is now applied consistently. Demoted to 'no' rather than 'partial' to match the v8.5 AU/IR treatment on identical facts. feed_types retained as a record of where emission would originate.",
